ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-0-7983-3423-5,Upgradable zero tolerance info-mediaries,Julian Anderson,Reference,1989,8,2023-06-16,Checked Out,978-0-7983-3423-5
978-1-209-48413-6,Devolved logistical initiative,Abigail Smith,Young Adult,1950,10,2020-08-03,Missing,978-1-209-48413-6
978-0-8403-3399-5,Business-focused web-enabled initiative,Karen Thomas,Children,1976,8,2021-02-25,Damaged,978-0-8403-3399-5
978-1-180-51371-9,Progressive context-sensitive database,Raymond Dawson-West,Reference,1970,10,2022-01-19,Reserved,978-1-180-51371-9
978-0-7318-9397-3,Compatible methodical middleware,Timothy Adams,Fiction,2017,5,2020-02-23,Reserved,978-0-7318-9397-3
978-0-9617399-7-3,Operative directional process improvement,Lisa Griffiths,Reference,1973,5,2025-12-28,Damaged,978-0-9617399-7-3
978-1-69472-587-5,Reactive web-enabled benchmark,Alex Sanders-Graham,Non-Fiction,2023,7,2025-02-07,Checked Out,978-1-69472-587-5
978-1-4835-4884-5,Progressive mission-critical intranet,Maria Cox,Young Adult,1998,9,2017-08-31,Checked Out,978-1-4835-4884-5
978-0-270-58772-2,Business-focused heuristic software,Dr Kenneth Burns,Non-Fiction,1968,5,2024-04-21,Damaged,978-0-270-58772-2
9780641758232,Open-source multi-state Graphical User Interface,Mr Jack Bibi,Non-Fiction,2012,3,2020-12-23,Reserved,9780641758232
978-0-348-45871-8,Synergistic empowering knowledgebase,Mr Iain Barnes,Young Adult,2019,9,2022-12-21,Checked Out,978-0-348-45871-8
978-0-925236-22-7,Vision-oriented solution-oriented attitude,Dr Ann Walker,Young Adult,1957,10,2023-07-09,Reserved,978-0-925236-22-7
978-1-879643-47-5,Seamless 6thgeneration moratorium,Mitchell Shah,Young Adult,1972,3,2017-10-27,Checked Out,978-1-879643-47-5
978-1-245-55746-7,Object-based needs-based info-mediaries,Josephine Forster,Children,1982,6,2020-10-06,Damaged,978-1-245-55746-7
978-1-06-065274-3,User-friendly mobile knowledge user,Dr Connor Johnson,Young Adult,1963,0,2020-05-08,Reserved,978-1-06-065274-3
978-0-344-50566-9,Multi-layered clear-thinking leverage,Nicole Brown,Fiction,1988,9,2024-05-26,Damaged,978-0-344-50566-9
978-0-398-74113-6,Organized high-level hub,Pamela Bailey,Fiction,2019,0,2022-01-31,Damaged,978-0-398-74113-6
978-1-79706-734-6,Customizable tertiary customer loyalty,Connor Porter,Reference,2000,2,2022-03-26,Missing,978-1-79706-734-6
978-0-10-548574-2,Cross-platform asymmetric knowledgebase,Ms Teresa Berry,Reference,1999,8,2016-07-16,Missing,978-0-10-548574-2
978-1-215-62294-2,Stand-alone methodical policy,Rachael Jones,Young Adult,1971,4,2022-11-28,Reserved,978-1-215-62294-2
978-0-7359-8488-2,Reduced stable middleware,Max Davies-Harvey,Reference,1982,0,2021-08-29,Checked Out,978-0-7359-8488-2
978-0-215-57325-4,Multi-layered intangible strategy,Lynne Pickering,Reference,1996,1,2016-11-23,Missing,978-0-215-57325-4
978-0-7553-4490-1,Down-sized neutral project,Emily Ball,Young Adult,1991,6,2022-02-08,Available,978-0-7553-4490-1
978-0-666-70808-3,Digitized composite conglomeration,Derek Harris,Non-Fiction,1988,4,2020-05-17,Available,978-0-666-70808-3
978-0-9608587-4-3,Configurable tangible installation,Mrs Jenna Harrison,Reference,2019,3,2020-02-02,Checked Out,978-0-9608587-4-3
9780191818288,Optional hybrid installation,Nicole Evans,Fiction,2019,3,2021-06-22,Missing,9780191818288
978-1-931647-72-4,Business-focused exuding data-warehouse,Arthur Lawson,Fiction,1965,6,2024-01-14,Missing,978-1-931647-72-4
978-0-295-78606-3,Enhanced dedicated service-desk,Elliot Pritchard-Johnson,Non-Fiction,1984,7,2023-08-13,Damaged,978-0-295-78606-3
978-0-9600356-2-5,Enterprise-wide zero-defect infrastructure,Ian Murphy,Reference,1958,2,2024-02-27,Checked Out,978-0-9600356-2-5
978-0-9587395-9-7,Re-engineered next generation hierarchy,Ross Simpson,Young Adult,2013,9,2019-06-18,Checked Out,978-0-9587395-9-7
978-0-234-21089-5,Organic demand-driven functionalities,Martyn Nolan,Reference,2020,0,2026-01-03,Available,978-0-234-21089-5
978-0-85155-333-7,Synergistic systemic software,James Wood,Non-Fiction,1970,0,2025-10-12,Available,978-0-85155-333-7
978-0-643-35027-4,Innovative maximized collaboration,Rosie Browne,Young Adult,1977,1,2019-03-05,Missing,978-0-643-35027-4
978-1-07-360776-1,Networked system-worthy Graphic Interface,Mr Billy Watson,Children,1973,0,2021-02-01,Available,978-1-07-360776-1
978-0-691-12898-6,Right-sized eco-centric leverage,Lynda Butler,Non-Fiction,1980,9,2025-11-12,Available,978-0-691-12898-6
978-0-317-95563-7,Total interactive installation,Daniel Jones,Children,1969,3,2025-04-17,Available,978-0-317-95563-7
9780857481702,Customizable uniform analyzer,Hannah Bell,Non-Fiction,1981,6,2022-03-09,Checked Out,9780857481702
9781661554163,Phased impactful info-mediaries,Daniel Barnett,Fiction,1987,0,2018-02-05,Missing,9781661554163
978-0-16-704502-1,Assimilated secondary encryption,Bruce Sykes-Griffin,Reference,1972,1,2018-09-01,Checked Out,978-0-16-704502-1
978-0-902822-70-2,Down-sized client-driven encryption,Miss Katie Dale,Young Adult,1955,2,2022-07-09,Checked Out,978-0-902822-70-2
978-0-459-62622-8,Cross-platform composite firmware,Dr Lucy Parkinson,Fiction,2020,9,2017-07-31,Damaged,978-0-459-62622-8
978-0-512-07346-4,User-centric 3rdgeneration concept,Miss Josephine Perry,Young Adult,1973,0,2022-04-07,Available,978-0-512-07346-4
978-1-950050-70-3,Customer-focused attitude-oriented core,Reece Ross,Non-Fiction,1994,9,2019-12-23,Available,978-1-950050-70-3
978-1-08-698221-3,Managed system-worthy functionalities,Melissa Russell,Non-Fiction,1962,10,2019-09-10,Damaged,978-1-08-698221-3
978-1-316-11776-7,Universal reciprocal open architecture,Anna Stokes,Young Adult,1990,6,2022-07-07,Missing,978-1-316-11776-7
978-0-904774-25-2,Inverse 4thgeneration policy,Craig Miles,Fiction,1950,0,2021-08-10,Available,978-0-904774-25-2
978-0-7793-2382-1,Seamless mission-critical hub,Duncan Wyatt,Reference,1960,7,2026-03-07,Damaged,978-0-7793-2382-1
978-0-11-649133-6,Switchable uniform core,Adam Hussain-Chapman,Children,1977,2,2016-08-05,Reserved,978-0-11-649133-6
978-0-457-98894-6,Cross-platform exuding encoding,Mr Conor Knight,Children,2017,3,2020-02-27,Reserved,978-0-457-98894-6
978-1-65290-603-2,Progressive object-oriented process improvement,Kimberley Thomas-Slater,Non-Fiction,2015,7,2024-08-18,Available,978-1-65290-603-2
978-0-203-26509-3,Ameliorated intangible policy,Henry Clark,Children,1959,5,2022-02-27,Reserved,978-0-203-26509-3
978-1-5396-7379-8,Face-to-face zero tolerance leverage,Emma Smith,Young Adult,1988,6,2022-04-13,Missing,978-1-5396-7379-8
978-1-148-55245-3,Proactive bandwidth-monitored protocol,Jade Knowles,Fiction,1964,7,2019-01-13,Available,978-1-148-55245-3
978-1-158-41560-1,Quality-focused reciprocal application,Dr Molly McLean,Reference,2007,0,2025-10-10,Checked Out,978-1-158-41560-1
978-0-371-18425-7,Ergonomic radical attitude,Sian Roberts,Young Adult,1968,8,2024-06-15,Checked Out,978-0-371-18425-7
978-1-68182-683-7,Polarized regional toolset,Judith Bates,Fiction,1982,0,2023-03-18,Available,978-1-68182-683-7
978-0-03-589298-6,User-friendly modular groupware,Rita O'Sullivan,Reference,1980,10,2024-10-25,Missing,978-0-03-589298-6
978-1-83825-212-0,Mandatory didactic superstructure,Dr George Scott,Fiction,2019,3,2022-04-09,Reserved,978-1-83825-212-0
978-0-89634-064-0,Stand-alone actuating emulation,Dale Chandler,Reference,1964,2,2024-05-07,Checked Out,978-0-89634-064-0
978-1-77524-014-3,Exclusive discrete migration,Lauren Smith,Non-Fiction,1964,6,2017-05-26,Available,978-1-77524-014-3
978-0-9910622-7-0,Synchronized content-based concept,Denis Fletcher,Fiction,1997,9,2023-05-10,Checked Out,978-0-9910622-7-0
978-0-626-69335-0,Seamless fault-tolerant productivity,Helen Thornton-Fuller,Non-Fiction,1983,1,2024-02-25,Missing,978-0-626-69335-0
978-0-426-19237-4,Expanded client-server access,Geraldine Taylor,Non-Fiction,1967,10,2022-01-04,Reserved,978-0-426-19237-4
978-1-5018-4819-3,Networked high-level moratorium,Ms Geraldine Walker,Non-Fiction,2007,6,2018-05-24,Checked Out,978-1-5018-4819-3
978-0-7418-9721-3,Face-to-face empowering open architecture,Marcus Rice,Children,1968,10,2018-10-14,Available,978-0-7418-9721-3
978-1-06-417692-4,Down-sized background architecture,Beverley Berry-Frost,Non-Fiction,1961,3,2019-08-24,Available,978-1-06-417692-4
978-1-381-19953-8,Pre-emptive directional concept,Sam Cunningham-Johnson,Fiction,2005,7,2017-08-02,Missing,978-1-381-19953-8
978-1-60144-485-1,Operative asymmetric knowledgebase,Tracey Williamson,Children,1987,2,2018-10-04,Missing,978-1-60144-485-1
9781510173972,Customizable upward-trending paradigm,Mitchell Andrews,Non-Fiction,1971,6,2019-01-09,Damaged,9781510173972
978-1-4178-9969-2,Phased tangible standardization,Mrs Kate Robertson,Fiction,1962,1,2018-10-12,Damaged,978-1-4178-9969-2
9780919191136,Sharable transitional database,Jack Thomas-Ross,Young Adult,2014,1,2020-05-01,Available,9780919191136
978-1-60577-980-5,Future-proofed bottom-line knowledge user,Grace Kelly,Young Adult,2009,8,2017-01-19,Damaged,978-1-60577-980-5
978-1-03-920514-7,Re-contextualized mobile workforce,Miss Amy Wilson,Non-Fiction,1950,2,2024-03-25,Reserved,978-1-03-920514-7
9780745553474,Networked content-based structure,Paul Walker-Taylor,Fiction,1992,3,2025-11-04,Missing,9780745553474
978-1-74238-856-4,Intuitive analyzing neural-net,Gregory Clarke,Young Adult,1982,2,2022-08-18,Damaged,978-1-74238-856-4
978-0-7155-9835-1,Exclusive 6thgeneration parallelism,Anne Tucker,Young Adult,1979,0,2018-09-28,Checked Out,978-0-7155-9835-1
978-0-16-597263-3,Persistent 4thgeneration extranet,Shaun Greenwood,Non-Fiction,1955,9,2016-11-28,Missing,978-0-16-597263-3
978-1-55752-250-4,Stand-alone multimedia installation,Rachael O'Brien,Children,1960,7,2019-06-26,Reserved,978-1-55752-250-4
978-0-948848-82-7,Automated incremental challenge,Bernard Kay,Non-Fiction,1952,4,2019-03-29,Available,978-0-948848-82-7
978-0-311-96425-3,Decentralized client-driven orchestration,Mrs Cheryl Williams,Children,1975,1,2023-05-04,Missing,978-0-311-96425-3
978-1-261-49915-4,Digitized national superstructure,Miss Kayleigh Cooper,Reference,1985,1,2022-09-28,Available,978-1-261-49915-4
978-1-03-824073-6,Front-line bottom-line implementation,Mr Brandon Curtis,Children,1953,7,2021-03-23,Reserved,978-1-03-824073-6
978-0-373-20430-4,Optimized dedicated superstructure,Sean Wilkinson-Williams,Children,1950,8,2020-09-08,Reserved,978-0-373-20430-4
978-1-68893-628-7,Multi-lateral uniform infrastructure,Anthony Browne-Gray,Reference,1990,2,2026-06-02,Missing,978-1-68893-628-7
978-1-4546-5535-0,Open-source real-time hardware,Ms Helen Webb,Children,2002,7,2023-06-18,Damaged,978-1-4546-5535-0
978-0-253-89218-8,Right-sized well-modulated groupware,Hannah Simmons,Fiction,1979,7,2017-08-05,Missing,978-0-253-89218-8
978-1-193-58374-7,Multi-tiered hybrid leverage,Martyn Richardson-Osborne,Children,2005,7,2024-01-15,Missing,978-1-193-58374-7
978-1-9779-6120-4,Extended encompassing archive,Emily Jenkins,Young Adult,1956,0,2022-10-25,Missing,978-1-9779-6120-4
9780572151492,Synergized multi-state architecture,Abigail Thompson,Non-Fiction,1953,10,2018-08-14,Damaged,9780572151492
978-0-9762637-4-6,Self-enabling static Graphic Interface,George Smith,Young Adult,1984,10,2022-09-11,Reserved,978-0-9762637-4-6
978-1-398-62895-3,Intuitive system-worthy help-desk,Stacey Thomas-Knight,Fiction,1993,8,2019-09-23,Checked Out,978-1-398-62895-3
978-0-591-19186-8,Quality-focused multi-state groupware,Douglas Davis,Children,1991,0,2026-01-01,Available,978-0-591-19186-8
978-0-392-20715-7,Self-enabling zero-defect solution,Mr Gordon Allen,Young Adult,1970,7,2019-07-22,Checked Out,978-0-392-20715-7
9780696667251,Reduced zero tolerance neural-net,Douglas Hill,Young Adult,2006,3,2026-02-05,Checked Out,9780696667251
9780452647121,Reduced object-oriented forecast,Stanley Lee,Reference,1973,9,2025-02-27,Available,9780452647121
978-1-335-15718-8,Innovative zero administration focus group,Mr Joe Thomas,Fiction,2020,3,2024-05-18,Checked Out,978-1-335-15718-8
978-0-908051-20-5,Reduced web-enabled alliance,Elliott Owen,Fiction,1996,1,2019-07-28,Available,978-0-908051-20-5
978-0-564-09951-1,Monitored systematic project,Jane Simpson,Non-Fiction,1958,3,2021-10-04,Reserved,978-0-564-09951-1
978-0-9728351-2-1,Secured 3rdgeneration contingency,Rachael Hall,Fiction,2004,3,2018-06-08,Damaged,978-0-9728351-2-1
978-0-7282-7090-9,Public-key motivating array,Ms Claire Humphries,Reference,1953,1,2022-04-18,Missing,978-0-7282-7090-9
978-1-4152-9821-3,Expanded dedicated info-mediaries,Dr Francis Long,Reference,1955,5,2017-11-27,Available,978-1-4152-9821-3
978-0-929578-67-5,Proactive optimal challenge,Ms Kayleigh Brookes,Non-Fiction,1988,0,2023-07-20,Damaged,978-0-929578-67-5
978-0-535-23736-2,Digitized tangible knowledge user,Guy Webb,Children,1958,1,2018-09-27,Damaged,978-0-535-23736-2
978-1-07-918158-6,Multi-layered directional encryption,Diana Evans,Children,2010,1,2024-01-25,Available,978-1-07-918158-6
978-0-452-73466-1,Profound zero tolerance firmware,Mr Derek Reed,Young Adult,1956,10,2020-09-20,Damaged,978-0-452-73466-1
978-1-170-71587-1,Pre-emptive even-keeled conglomeration,Sophie Clarke,Children,2019,5,2024-10-06,Damaged,978-1-170-71587-1
978-1-74080-314-4,Cross-group value-added task-force,Dr Derek Riley,Reference,2005,8,2019-08-06,Missing,978-1-74080-314-4
978-1-08-004635-5,Profound web-enabled hardware,Anne Davies,Young Adult,1974,10,2024-01-23,Available,978-1-08-004635-5
978-1-882850-31-0,Total asynchronous adapter,Leigh Bruce,Non-Fiction,1982,0,2024-10-25,Damaged,978-1-882850-31-0
978-0-351-37399-2,Cross-group 24hour methodology,Catherine Ball,Reference,1953,4,2021-05-05,Reserved,978-0-351-37399-2
978-0-631-40352-4,Reduced value-added matrix,Linda Singh,Reference,1960,3,2022-11-02,Missing,978-0-631-40352-4
978-0-560-22939-4,Managed bandwidth-monitored strategy,Ellie Giles-North,Reference,1965,9,2020-12-18,Available,978-0-560-22939-4
978-1-943460-66-3,Proactive context-sensitive approach,Nicola Smith-Williamson,Fiction,1962,4,2023-03-31,Reserved,978-1-943460-66-3
978-1-374-90607-5,Innovative 24/7 forecast,Claire Webb-Tucker,Young Adult,2013,6,2022-01-20,Damaged,978-1-374-90607-5
978-0-11-127128-5,Optimized tertiary productivity,Mr Toby Davey,Young Adult,2003,1,2018-06-30,Missing,978-0-11-127128-5
978-0-464-84494-5,Cloned even-keeled Graphical User Interface,Mrs Patricia Pope,Children,1966,4,2016-08-26,Missing,978-0-464-84494-5
978-0-631-87328-0,Front-line attitude-oriented complexity,Charlie Wilkinson,Young Adult,1953,1,2020-09-28,Damaged,978-0-631-87328-0
9781711306216,Persevering leadingedge hardware,Miss Suzanne Bowen,Fiction,2022,2,2026-03-02,Available,9781711306216
978-0-695-72790-1,Profit-focused zero administration secured line,Janice Smith,Young Adult,2004,4,2024-02-18,Reserved,978-0-695-72790-1
978-0-509-02542-1,Distributed 5thgeneration open system,Amber Reid-Stevenson,Fiction,2011,7,2024-11-20,Available,978-0-509-02542-1
978-1-306-62481-7,Ergonomic attitude-oriented paradigm,Hugh Anderson,Non-Fiction,1969,10,2023-05-17,Checked Out,978-1-306-62481-7
978-0-357-07139-7,Phased 5thgeneration architecture,Dr Karl Clark,Reference,1950,4,2021-08-24,Reserved,978-0-357-07139-7
978-0-285-01168-7,Centralized zero tolerance product,Jonathan Jones-Fuller,Non-Fiction,1989,7,2025-05-25,Missing,978-0-285-01168-7
978-0-550-21306-8,De-engineered encompassing website,Dr Sara Porter,Non-Fiction,2006,7,2017-05-21,Checked Out,978-0-550-21306-8
978-0-691-30981-1,Team-oriented zero tolerance info-mediaries,Tracy Shepherd-Day,Children,1974,2,2024-08-04,Available,978-0-691-30981-1
978-1-964967-37-0,Upgradable context-sensitive encoding,Holly Donnelly,Reference,1995,10,2022-09-27,Missing,978-1-964967-37-0
978-1-77278-532-6,Re-engineered intermediate product,Carl Simpson-Davies,Non-Fiction,2018,4,2023-04-11,Missing,978-1-77278-532-6
978-0-642-50642-9,Pre-emptive didactic collaboration,Grace Fraser,Reference,2021,7,2025-02-22,Checked Out,978-0-642-50642-9
978-1-68362-536-0,Reverse-engineered transitional structure,Sylvia Thompson,Children,2014,7,2017-05-12,Checked Out,978-1-68362-536-0
978-1-77767-555-4,Focused client-driven function,Lynn Hammond,Young Adult,1971,9,2020-07-10,Missing,978-1-77767-555-4
9780833339393,Seamless secondary forecast,Mrs Eleanor Frost,Non-Fiction,1977,10,2024-08-17,Reserved,9780833339393
978-1-86543-627-2,Distributed local extranet,Mrs Shannon Atkinson,Young Adult,1952,2,2020-07-24,Reserved,978-1-86543-627-2
978-1-4960-3358-1,Multi-channeled static moderator,Janice Barlow,Fiction,1981,9,2025-01-20,Missing,978-1-4960-3358-1
978-1-86270-369-8,Optimized user-facing paradigm,Caroline White,Young Adult,2004,3,2018-09-20,Missing,978-1-86270-369-8
978-1-926932-65-1,Virtual multi-state service-desk,Mr Martin Miller,Reference,1989,6,2022-02-06,Reserved,978-1-926932-65-1
978-0-275-99801-1,Business-focused contextually-based functionalities,Dr Graham Barlow,Reference,1986,4,2020-12-02,Checked Out,978-0-275-99801-1
978-0-00-051553-7,Phased intermediate application,Leanne Howard-Kennedy,Young Adult,1981,9,2017-07-31,Missing,978-0-00-051553-7
978-0-415-95977-3,Digitized system-worthy service-desk,Miss Paige Nash,Non-Fiction,1990,6,2017-03-13,Reserved,978-0-415-95977-3
978-0-441-82226-3,Object-based analyzing extranet,Miss Catherine Payne,Non-Fiction,1980,9,2023-09-09,Available,978-0-441-82226-3
978-1-288-74312-4,Organic cohesive function,Dominic Lawrence,Reference,2020,6,2026-03-19,Damaged,978-1-288-74312-4
978-0-02-676720-0,Advanced heuristic time-frame,Raymond Hammond-Lloyd,Young Adult,1971,2,2023-07-12,Damaged,978-0-02-676720-0
978-1-992707-95-5,Versatile multi-tasking database,Patrick Jones,Non-Fiction,1992,3,2020-04-17,Checked Out,978-1-992707-95-5
978-0-512-29462-3,Up-sized real-time toolset,Mandy Jones,Children,1950,6,2021-04-23,Checked Out,978-0-512-29462-3
978-0-541-59709-2,Enterprise-wide fault-tolerant throughput,Craig Lawrence-Thompson,Fiction,1963,6,2021-08-05,Damaged,978-0-541-59709-2
978-0-543-84807-9,Team-oriented asynchronous conglomeration,Dr Stanley Ali,Non-Fiction,1981,4,2025-09-09,Available,978-0-543-84807-9
978-0-03-447650-7,Customer-focused client-driven system engine,Howard Daly-Simpson,Fiction,1983,2,2018-02-02,Available,978-0-03-447650-7
978-1-158-02909-9,Universal optimal pricing structure,Dr Francis John,Children,2000,3,2022-07-01,Reserved,978-1-158-02909-9
978-1-63766-046-1,Horizontal stable middleware,Eileen Webster,Children,1972,6,2025-01-13,Checked Out,978-1-63766-046-1
978-1-86652-548-7,Open-source tertiary neural-net,Louise Baker,Young Adult,1971,8,2019-12-19,Missing,978-1-86652-548-7
978-1-4417-1581-4,Cross-group uniform access,Karen Moore-Jones,Young Adult,1973,3,2026-05-05,Checked Out,978-1-4417-1581-4
978-0-13-125129-8,Digitized fresh-thinking utilization,Dominic Heath,Children,2008,0,2019-02-27,Reserved,978-0-13-125129-8
978-0-10-059129-5,Compatible 4thgeneration implementation,Mr Ashley Nicholls,Children,1984,5,2025-12-01,Reserved,978-0-10-059129-5
9781191023122,Networked grid-enabled infrastructure,Lewis Johnson,Fiction,1989,3,2024-01-23,Reserved,9781191023122
978-0-06-330165-8,Public-key user-facing instruction set,Mrs Katie Payne,Children,1968,1,2019-02-15,Available,978-0-06-330165-8
978-1-379-27490-2,Multi-channeled clear-thinking middleware,Jodie Knight,Fiction,2009,5,2025-04-20,Reserved,978-1-379-27490-2
978-0-8012-3428-6,Innovative maximized throughput,Paul Clark,Reference,1983,4,2025-12-15,Missing,978-0-8012-3428-6
978-0-13-253269-3,Multi-tiered client-driven adapter,Keith Adams-O'Connor,Children,2011,10,2017-10-01,Reserved,978-0-13-253269-3
978-1-84364-538-2,Assimilated impactful hub,Mr Tom Moore,Non-Fiction,1960,10,2018-07-31,Missing,978-1-84364-538-2
978-1-4210-1750-1,Phased needs-based parallelism,Dr Beth Khan,Reference,1988,2,2018-07-06,Reserved,978-1-4210-1750-1
978-0-7015-9591-3,Implemented directional hierarchy,Joshua Marsden,Young Adult,1980,8,2026-04-25,Available,978-0-7015-9591-3
978-1-75757-475-4,Integrated high-level moratorium,Dr Jamie Walters,Children,1959,2,2020-01-14,Missing,978-1-75757-475-4
978-0-920567-75-3,Robust high-level challenge,Jessica Cook-Thomas,Fiction,1965,6,2019-04-09,Reserved,978-0-920567-75-3
978-1-77226-602-3,Intuitive zero tolerance array,Mark Hope-Graham,Young Adult,1972,4,2024-02-20,Damaged,978-1-77226-602-3
978-1-265-06229-3,Advanced holistic open architecture,Daniel Whitehead,Children,1972,9,2022-03-08,Missing,978-1-265-06229-3
978-0-10-672453-6,Stand-alone empowering data-warehouse,Stanley Hayward,Reference,2006,2,2021-07-14,Reserved,978-0-10-672453-6
9781624843372,Mandatory multi-tasking product,Harry Humphries,Young Adult,1976,5,2025-12-19,Checked Out,9781624843372
978-1-62705-115-6,Pre-emptive analyzing concept,Michelle Ali,Reference,2017,7,2023-12-27,Reserved,978-1-62705-115-6
978-1-238-73670-1,Open-architected static analyzer,Sara John,Reference,1965,5,2025-11-25,Checked Out,978-1-238-73670-1
978-0-549-69192-1,Enterprise-wide multi-tasking array,Cheryl Lowe-North,Fiction,1957,7,2019-12-30,Reserved,978-0-549-69192-1
9781525971075,Optional stable parallelism,Anthony Mason,Fiction,1983,5,2021-04-26,Available,9781525971075
9781335357489,Customizable well-modulated hierarchy,Hazel Banks-Harrison,Reference,1978,4,2026-02-27,Damaged,9781335357489
9781325939930,Cross-group user-facing time-frame,Sally Smith,Reference,1972,10,2018-09-13,Checked Out,9781325939930
978-1-970581-62-1,Multi-tiered human-resource task-force,Carl Kirby,Fiction,1993,7,2018-06-18,Missing,978-1-970581-62-1
978-0-87794-176-7,Persistent tangible forecast,Margaret Barnes,Non-Fiction,1983,5,2022-12-04,Checked Out,978-0-87794-176-7
978-1-250-73305-4,Optional maximized neural-net,Aaron Cartwright-Roberts,Fiction,1953,8,2020-11-02,Available,978-1-250-73305-4
978-1-82457-598-1,Cloned bi-directional throughput,Miss Suzanne Moore,Non-Fiction,1982,6,2017-04-07,Reserved,978-1-82457-598-1
978-0-9914038-8-2,Open-source 24hour policy,Miss Hollie Tomlinson,Non-Fiction,2011,8,2020-11-18,Damaged,978-0-9914038-8-2
978-0-660-44324-9,Proactive interactive instruction set,Lisa Jones,Non-Fiction,1989,3,2021-12-11,Available,978-0-660-44324-9
978-0-615-72768-4,Synergistic regional implementation,Mr Patrick Morris,Fiction,1984,10,2021-03-16,Damaged,978-0-615-72768-4
978-1-5147-4397-3,Ameliorated local frame,Stephen Burrows,Fiction,2004,6,2022-06-25,Missing,978-1-5147-4397-3
978-0-925010-58-2,Upgradable transitional standardization,Rachael Howell,Young Adult,1964,0,2017-08-12,Damaged,978-0-925010-58-2
978-1-256-80656-1,Reverse-engineered reciprocal interface,Iain Rogers,Reference,2002,3,2024-11-23,Damaged,978-1-256-80656-1
978-1-904599-08-1,Distributed bi-directional leverage,Joanna Riley-McLean,Children,1963,2,2022-04-26,Available,978-1-904599-08-1
9780711221826,Team-oriented needs-based monitoring,Sandra Roberts-Douglas,Reference,2012,9,2019-06-15,Available,9780711221826
978-0-555-16517-1,Innovative directional solution,Mark King,Young Adult,1993,0,2025-04-28,Damaged,978-0-555-16517-1
978-0-86628-137-9,Grass-roots bi-directional framework,Dr Carly Nixon,Fiction,1984,7,2019-12-20,Available,978-0-86628-137-9
978-0-433-08003-9,User-centric uniform website,Dr Nigel Fisher,Children,2024,0,2017-02-24,Available,978-0-433-08003-9
978-0-03-322855-8,Sharable interactive structure,Gerard Singh,Fiction,1971,5,2026-05-25,Available,978-0-03-322855-8
978-1-08-470681-1,Stand-alone clear-thinking moderator,Debra Murray,Non-Fiction,1974,1,2017-05-02,Damaged,978-1-08-470681-1
978-0-903397-05-6,Streamlined 3rdgeneration capacity,Mr Jonathan Gill,Fiction,1950,4,2025-03-22,Available,978-0-903397-05-6
978-1-82632-809-7,Open-architected didactic policy,Lynn Ellis,Non-Fiction,2011,2,2024-04-06,Missing,978-1-82632-809-7
978-1-85862-394-8,Horizontal zero-defect portal,Timothy Page,Reference,2019,6,2024-09-19,Missing,978-1-85862-394-8
978-0-546-14707-0,Organized hybrid model,Maurice Garner,Non-Fiction,1967,1,2020-02-28,Checked Out,978-0-546-14707-0
978-0-210-61339-9,Open-source explicit methodology,Brenda Pearson,Fiction,2020,6,2017-04-18,Available,978-0-210-61339-9
978-0-945703-94-5,Polarized heuristic emulation,Karen Jackson-Dean,Children,2020,4,2022-10-31,Checked Out,978-0-945703-94-5
978-0-403-25376-0,Sharable regional intranet,Dr Kevin Hopkins,Children,1954,7,2021-05-08,Missing,978-0-403-25376-0
978-1-69277-894-1,Operative didactic website,Olivia Howard-Parker,Young Adult,1998,9,2017-09-03,Missing,978-1-69277-894-1
978-0-910090-04-9,Reverse-engineered bandwidth-monitored info-mediaries,Mr Robin Richards,Young Adult,2014,4,2022-09-14,Checked Out,978-0-910090-04-9
978-1-76921-053-4,Operative mission-critical complexity,Dr Howard Booth,Fiction,1957,10,2024-10-28,Available,978-1-76921-053-4
978-1-5146-0401-4,Front-line didactic conglomeration,Mr Karl Preston,Children,1960,4,2026-04-01,Reserved,978-1-5146-0401-4
978-0-473-10720-8,Exclusive asymmetric open system,Ms Kathleen O'Connor,Non-Fiction,1982,6,2022-04-24,Available,978-0-473-10720-8
978-0-379-84409-2,Compatible web-enabled capacity,Gemma Crawford,Young Adult,1978,7,2022-01-22,Checked Out,978-0-379-84409-2
9780231660075,Seamless local complexity,Dr Elizabeth Chambers,Non-Fiction,2018,6,2026-02-23,Available,9780231660075
978-1-62090-144-1,Reduced background productivity,Joan Nelson-Brown,Children,2024,5,2018-01-27,Checked Out,978-1-62090-144-1
978-0-404-33700-1,Quality-focused didactic service-desk,Dr Glenn Evans,Reference,1991,9,2017-04-13,Missing,978-0-404-33700-1
978-1-304-51957-3,Multi-tiered even-keeled info-mediaries,June Vincent,Children,2008,5,2020-01-03,Damaged,978-1-304-51957-3
978-0-558-82556-0,Adaptive intermediate productivity,Declan Leach-Johnston,Young Adult,1977,7,2021-12-25,Missing,978-0-558-82556-0
978-1-57542-786-7,Exclusive actuating alliance,Maureen Patel-Booth,Reference,1971,9,2021-08-03,Checked Out,978-1-57542-786-7
978-1-194-25577-3,Open-architected national website,Ms Sharon Hayes,Fiction,1993,5,2017-10-03,Damaged,978-1-194-25577-3
978-0-582-95829-6,User-centric actuating adapter,Dr Kyle Atkinson,Young Adult,2023,7,2022-09-26,Missing,978-0-582-95829-6
978-0-616-18808-8,Polarized secondary knowledge user,Sian Clark-Dixon,Reference,1976,6,2022-11-18,Damaged,978-0-616-18808-8
